input,output
length of holdings = 8302,ColumnLength `holdings` = 8302
type of age is float,ColumnDataType `age` = 8302
type of cusip is float,ColumnDataType `cusip` = 8302
type of cusip is string,ColumnDataType `cusip` = 8302
type of salary is boolean,ColumnDataType `salary` = 8302
type of age is string,ColumnDataType `age` = 8302
salary <= 63629,ColumnValue `salary` <= 63629
length of height < 7766,ColumnLength `height` < 7766
length of age > 2965,ColumnLength `age` > 2965
length of salary < 7018,ColumnLength `salary` < 7018
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 7018
length of salary < 8107,ColumnLength `salary` < 8107
type of cusip is string,ColumnDataType `cusip` = 8107
type of salary is float,ColumnDataType `salary` = 8107
length of cusip >= 6679,ColumnLength `cusip` >= 6679
length of salary <= 3450,ColumnLength `salary` <= 3450
length of height >= 5075,ColumnLength `height` >= 5075
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 5075
length of salary < 84,ColumnLength `salary` < 84
length of salary = 3018,ColumnLength `salary` = 3018
cusip < 255924,ColumnValue `cusip` < 255924
type of salary is int,ColumnDataType `salary` = 255924
length of cusip <= 7890,ColumnLength `cusip` <= 7890
age = 356479,ColumnValue `age` = 356479
length of holdings >= 6529,ColumnLength `holdings` >= 6529
salary = 896395,ColumnValue `salary` = 896395
salary = 838404,ColumnValue `salary` = 838404
type of age is float,ColumnDataType `age` = 838404
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 838404
length of ticker_symbol <= 4553,ColumnLength `ticker_symbol` <= 4553
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 4553
length of weight >= 3524,ColumnLength `weight` >= 3524
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 3524
holdings < 902546,ColumnValue `holdings` < 902546
length of cusip = 7431,ColumnLength `cusip` = 7431
type of cusip is string,ColumnDataType `cusip` = 7431
type of holdings is int,ColumnDataType `holdings` = 7431
holdings <= 600684,ColumnValue `holdings` <= 600684
salary >= 501192,ColumnValue `salary` >= 501192
type of height is int,ColumnDataType `height` = 501192
cusip = 671422,ColumnValue `cusip` = 671422
salary = 600026,ColumnValue `salary` = 600026
weight >= 662507,ColumnValue `weight` >= 662507
cusip < 154058,ColumnValue `cusip` < 154058
type of cusip is int,ColumnDataType `cusip` = 154058
type of salary is boolean,ColumnDataType `salary` = 154058
length of salary < 263,ColumnLength `salary` < 263
length of holdings >= 8736,ColumnLength `holdings` >= 8736
length of salary = 2665,ColumnLength `salary` = 2665
type of weight is boolean,ColumnDataType `weight` = 2665
salary > 844017,ColumnValue `salary` > 844017
age = 568123,ColumnValue `age` = 568123
weight <= 517029,ColumnValue `weight` <= 517029
length of cusip >= 1792,ColumnLength `cusip` >= 1792
type of weight is float,ColumnDataType `weight` = 1792
type of age is int,ColumnDataType `age` = 1792
age > 270754,ColumnValue `age` > 270754
weight > 288348,ColumnValue `weight` > 288348
type of holdings is string,ColumnDataType `holdings` = 288348
type of age is boolean,ColumnDataType `age` = 288348
ticker_symbol > 748279,ColumnValue `ticker_symbol` > 748279
type of height is float,ColumnDataType `height` = 748279
cusip >= 454286,ColumnValue `cusip` >= 454286
salary > 161637,ColumnValue `salary` > 161637
weight < 160209,ColumnValue `weight` < 160209
type of salary is string,ColumnDataType `salary` = 160209
weight = 285000,ColumnValue `weight` = 285000
ticker_symbol <= 114453,ColumnValue `ticker_symbol` <= 114453
type of weight is int,ColumnDataType `weight` = 114453
length of age > 7490,ColumnLength `age` > 7490
type of cusip is string,ColumnDataType `cusip` = 7490
holdings <= 65310,ColumnValue `holdings` <= 65310
length of ticker_symbol <= 6280,ColumnLength `ticker_symbol` <= 6280
length of holdings <= 4733,ColumnLength `holdings` <= 4733
type of weight is int,ColumnDataType `weight` = 4733
length of weight < 2271,ColumnLength `weight` < 2271
length of height >= 7885,ColumnLength `height` >= 7885
length of ticker_symbol > 7803,ColumnLength `ticker_symbol` > 7803
ticker_symbol <= 247082,ColumnValue `ticker_symbol` <= 247082
type of holdings is string,ColumnDataType `holdings` = 247082
length of cusip < 4148,ColumnLength `cusip` < 4148
holdings >= 570843,ColumnValue `holdings` >= 570843
length of salary > 151,ColumnLength `salary` > 151
weight > 290035,ColumnValue `weight` > 290035
type of age is int,ColumnDataType `age` = 290035
ticker_symbol < 502059,ColumnValue `ticker_symbol` < 502059
type of age is string,ColumnDataType `age` = 502059
length of height >= 9836,ColumnLength `height` >= 9836
type of holdings is string,ColumnDataType `holdings` = 9836
age > 402190,ColumnValue `age` > 402190
type of height is boolean,ColumnDataType `height` = 402190
length of weight = 773,ColumnLength `weight` = 773
length of holdings <= 4667,ColumnLength `holdings` <= 4667
ticker_symbol > 135126,ColumnValue `ticker_symbol` > 135126
length of holdings <= 9874,ColumnLength `holdings` <= 9874
length of ticker_symbol < 774,ColumnLength `ticker_symbol` < 774
type of cusip is int,ColumnDataType `cusip` = 774
length of weight <= 7095,ColumnLength `weight` <= 7095
length of holdings >= 1664,ColumnLength `holdings` >= 1664
type of cusip is boolean,ColumnDataType `cusip` = 1664
type of salary is boolean,ColumnDataType `salary` = 1664
length of weight > 1979,ColumnLength `weight` > 1979
length of holdings <= 1121,ColumnLength `holdings` <= 1121
length of cusip = 7332,ColumnLength `cusip` = 7332
type of weight is float,ColumnDataType `weight` = 7332
height <= 458599,ColumnValue `height` <= 458599
length of height >= 5681,ColumnLength `height` >= 5681
length of height = 6550,ColumnLength `height` = 6550
length of age < 2313,ColumnLength `age` < 2313
length of height <= 3821,ColumnLength `height` <= 3821
length of cusip = 7682,ColumnLength `cusip` = 7682
salary < 633040,ColumnValue `salary` < 633040
length of salary < 6393,ColumnLength `salary` < 6393
type of holdings is float,ColumnDataType `holdings` = 6393
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 6393
type of height is float,ColumnDataType `height` = 6393
cusip > 943819,ColumnValue `cusip` > 943819
holdings >= 737764,ColumnValue `holdings` >= 737764
length of ticker_symbol <= 3533,ColumnLength `ticker_symbol` <= 3533
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 3533
type of weight is string,ColumnDataType `weight` = 3533
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 3533
length of holdings >= 2976,ColumnLength `holdings` >= 2976
age >= 180411,ColumnValue `age` >= 180411
ticker_symbol = 210121,ColumnValue `ticker_symbol` = 210121
ticker_symbol < 86202,ColumnValue `ticker_symbol` < 86202
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 86202
weight = 160386,ColumnValue `weight` = 160386
length of ticker_symbol >= 6544,ColumnLength `ticker_symbol` >= 6544
salary >= 593608,ColumnValue `salary` >= 593608
type of height is int,ColumnDataType `height` = 593608
age < 212128,ColumnValue `age` < 212128
cusip > 661751,ColumnValue `cusip` > 661751
length of age = 5888,ColumnLength `age` = 5888
length of age <= 87,ColumnLength `age` <= 87
age > 768255,ColumnValue `age` > 768255
age = 13041,ColumnValue `age` = 13041
ticker_symbol > 707556,ColumnValue `ticker_symbol` > 707556
type of age is boolean,ColumnDataType `age` = 707556
length of weight >= 119,ColumnLength `weight` >= 119
type of weight is boolean,ColumnDataType `weight` = 119
type of height is float,ColumnDataType `height` = 119
type of height is float,ColumnDataType `height` = 119
length of holdings <= 9892,ColumnLength `holdings` <= 9892
length of age <= 3589,ColumnLength `age` <= 3589
type of height is boolean,ColumnDataType `height` = 3589
type of age is float,ColumnDataType `age` = 3589
ticker_symbol = 595792,ColumnValue `ticker_symbol` = 595792
length of salary < 6672,ColumnLength `salary` < 6672
height > 272013,ColumnValue `height` > 272013
salary < 400912,ColumnValue `salary` < 400912
type of salary is float,ColumnDataType `salary` = 400912
type of height is float,ColumnDataType `height` = 400912
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 400912
type of cusip is float,ColumnDataType `cusip` = 400912
length of height <= 2944,ColumnLength `height` <= 2944
length of height >= 9192,ColumnLength `height` >= 9192
type of age is float,ColumnDataType `age` = 9192
length of salary = 7760,ColumnLength `salary` = 7760
length of salary >= 5216,ColumnLength `salary` >= 5216
type of age is string,ColumnDataType `age` = 5216
type of holdings is int,ColumnDataType `holdings` = 5216
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 5216
holdings >= 825395,ColumnValue `holdings` >= 825395
type of age is boolean,ColumnDataType `age` = 825395
type of holdings is float,ColumnDataType `holdings` = 825395
length of cusip > 4455,ColumnLength `cusip` > 4455
cusip <= 780450,ColumnValue `cusip` <= 780450
length of ticker_symbol = 7794,ColumnLength `ticker_symbol` = 7794
length of holdings >= 8905,ColumnLength `holdings` >= 8905
length of cusip < 2033,ColumnLength `cusip` < 2033
length of ticker_symbol <= 5336,ColumnLength `ticker_symbol` <= 5336
length of weight = 4803,ColumnLength `weight` = 4803
type of holdings is boolean,ColumnDataType `holdings` = 4803
ticker_symbol < 708941,ColumnValue `ticker_symbol` < 708941
type of height is boolean,ColumnDataType `height` = 708941
type of height is float,ColumnDataType `height` = 708941
type of salary is string,ColumnDataType `salary` = 708941
length of holdings = 5891,ColumnLength `holdings` = 5891
type of weight is string,ColumnDataType `weight` = 5891
length of cusip >= 3122,ColumnLength `cusip` >= 3122
type of height is boolean,ColumnDataType `height` = 3122
type of cusip is int,ColumnDataType `cusip` = 3122
cusip > 852421,ColumnValue `cusip` > 852421
type of height is boolean,ColumnDataType `height` = 852421
type of cusip is int,ColumnDataType `cusip` = 852421
length of ticker_symbol > 312,ColumnLength `ticker_symbol` > 312
holdings <= 843788,ColumnValue `holdings` <= 843788
type of weight is float,ColumnDataType `weight` = 843788
length of weight = 5011,ColumnLength `weight` = 5011
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 5011
ticker_symbol > 541462,ColumnValue `ticker_symbol` > 541462
type of age is int,ColumnDataType `age` = 541462
length of holdings = 2308,ColumnLength `holdings` = 2308
type of height is int,ColumnDataType `height` = 2308
cusip = 123146,ColumnValue `cusip` = 123146
weight > 270816,ColumnValue `weight` > 270816
age = 909666,ColumnValue `age` = 909666
length of salary < 5122,ColumnLength `salary` < 5122
salary > 426790,ColumnValue `salary` > 426790
type of cusip is string,ColumnDataType `cusip` = 426790
weight >= 8232,ColumnValue `weight` >= 8232
type of cusip is string,ColumnDataType `cusip` = 8232
age < 87426,ColumnValue `age` < 87426
height < 205382,ColumnValue `height` < 205382
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 205382
length of weight > 3903,ColumnLength `weight` > 3903
length of weight <= 7023,ColumnLength `weight` <= 7023
length of weight > 2496,ColumnLength `weight` > 2496
salary <= 273939,ColumnValue `salary` <= 273939
type of cusip is boolean,ColumnDataType `cusip` = 273939
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 273939
length of cusip >= 6822,ColumnLength `cusip` >= 6822
weight = 643092,ColumnValue `weight` = 643092
salary < 95943,ColumnValue `salary` < 95943
type of salary is float,ColumnDataType `salary` = 95943
type of holdings is float,ColumnDataType `holdings` = 95943
type of salary is boolean,ColumnDataType `salary` = 95943
type of age is int,ColumnDataType `age` = 95943
length of cusip = 7484,ColumnLength `cusip` = 7484
length of salary = 2685,ColumnLength `salary` = 2685
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 2685
length of ticker_symbol <= 8942,ColumnLength `ticker_symbol` <= 8942
type of salary is boolean,ColumnDataType `salary` = 8942
length of cusip = 4881,ColumnLength `cusip` = 4881
holdings <= 137468,ColumnValue `holdings` <= 137468
length of holdings <= 3248,ColumnLength `holdings` <= 3248
type of height is int,ColumnDataType `height` = 3248
type of holdings is float,ColumnDataType `holdings` = 3248
holdings >= 653991,ColumnValue `holdings` >= 653991
length of ticker_symbol >= 4255,ColumnLength `ticker_symbol` >= 4255
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 4255
length of holdings <= 244,ColumnLength `holdings` <= 244
type of height is float,ColumnDataType `height` = 244
ticker_symbol < 384505,ColumnValue `ticker_symbol` < 384505
type of cusip is float,ColumnDataType `cusip` = 384505
length of salary >= 6285,ColumnLength `salary` >= 6285
age < 471329,ColumnValue `age` < 471329
type of age is float,ColumnDataType `age` = 471329
type of weight is int,ColumnDataType `weight` = 471329
length of height <= 7286,ColumnLength `height` <= 7286
type of age is string,ColumnDataType `age` = 7286
ticker_symbol > 403524,ColumnValue `ticker_symbol` > 403524
type of age is boolean,ColumnDataType `age` = 403524
salary <= 575093,ColumnValue `salary` <= 575093
length of holdings > 1929,ColumnLength `holdings` > 1929
length of age > 9787,ColumnLength `age` > 9787
length of cusip < 2785,ColumnLength `cusip` < 2785
length of holdings < 6124,ColumnLength `holdings` < 6124
cusip = 720032,ColumnValue `cusip` = 720032
cusip <= 324419,ColumnValue `cusip` <= 324419
type of salary is string,ColumnDataType `salary` = 324419
weight >= 720560,ColumnValue `weight` >= 720560
type of salary is boolean,ColumnDataType `salary` = 720560
holdings = 687301,ColumnValue `holdings` = 687301
salary >= 402001,ColumnValue `salary` >= 402001
length of height <= 3720,ColumnLength `height` <= 3720
length of holdings = 5868,ColumnLength `holdings` = 5868
length of cusip < 5897,ColumnLength `cusip` < 5897
age >= 76121,ColumnValue `age` >= 76121
length of height = 8457,ColumnLength `height` = 8457
type of holdings is float,ColumnDataType `holdings` = 8457
holdings > 447131,ColumnValue `holdings` > 447131
type of salary is int,ColumnDataType `salary` = 447131
length of height = 2211,ColumnLength `height` = 2211
length of cusip > 25,ColumnLength `cusip` > 25
length of holdings = 6194,ColumnLength `holdings` = 6194
type of cusip is boolean,ColumnDataType `cusip` = 6194
length of height <= 2844,ColumnLength `height` <= 2844
type of weight is boolean,ColumnDataType `weight` = 2844
salary < 137874,ColumnValue `salary` < 137874
length of cusip <= 1465,ColumnLength `cusip` <= 1465
type of age is int,ColumnDataType `age` = 1465
weight = 705587,ColumnValue `weight` = 705587
length of height = 8576,ColumnLength `height` = 8576
age >= 928978,ColumnValue `age` >= 928978
length of holdings >= 8023,ColumnLength `holdings` >= 8023
length of cusip = 8047,ColumnLength `cusip` = 8047
height > 156676,ColumnValue `height` > 156676
type of age is int,ColumnDataType `age` = 156676
